mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
10.994,0.547,3.79,0.296,1.957,0.46,6.503,25.528,0.0
12.957,0.549,2.681,0.28,1.667,0.454,5.082,11.598,0.0
13.428,0.556,2.821,0.305,1.576,0.442,5.143,9.874,0.0
13.264,0.557,2.575,0.284,1.486,0.43,4.776,8.405,0.0
13.703,0.564,2.41,0.282,1.421,0.429,4.541,7.948,0.0
13.909,0.564,2.22,0.266,1.387,0.42,4.293,6.514,0.0
13.222,0.572,2.019,0.271,1.346,0.408,4.044,6.277,0.0
13.908,0.586,1.887,0.265,1.311,0.41,3.872,6.692,0.0
13.94,0.586,1.931,0.265,1.29,0.405,3.892,6.168,0.0
14.133,0.592,1.767,0.256,1.254,0.4,3.677,6.413,0.0
14.02,0.612,1.679,0.256,1.239,0.394,3.568,7.035,0.0
14.545,0.607,1.734,0.255,1.231,0.385,3.605,5.003,0.0
14.15,0.61,1.646,0.229,1.207,0.375,3.456,5.103,0.0
14.112,0.61,1.696,0.25,1.216,0.377,3.538,5.23,0.0
13.819,0.626,1.778,0.258,1.171,0.381,3.587,5.459,0.0
14.291,0.625,1.661,0.244,1.121,0.377,3.402,5.002,0.0
14.974,0.624,1.622,0.241,1.166,0.361,3.391,4.854,0.0
14.385,0.627,1.667,0.254,1.125,0.366,3.413,4.96,0.0
14.703,0.622,1.568,0.232,1.117,0.363,3.281,5.072,0.0
14.48,0.625,1.545,0.243,1.118,0.364,3.27,5.026,0.0
14.679,0.62,1.572,0.249,1.117,0.364,3.3,5.547,0.0
15.018,0.64,1.415,0.24,1.065,0.355,3.075,5.18,0.0
14.754,0.642,1.491,0.237,1.095,0.352,3.175,5.293,0.0
14.615,0.654,1.48,0.233,1.061,0.351,3.126,4.959,0.0
14.927,0.64,1.522,0.221,1.077,0.351,3.171,4.687,0.0
14.762,0.652,1.557,0.246,1.06,0.344,3.206,4.639,0.0
14.49,0.652,1.482,0.237,1.028,0.341,3.087,4.823,0.0
15.091,0.644,1.418,0.239,1.023,0.337,3.017,4.634,0.0
15.001,0.668,1.45,0.229,1.001,0.334,3.014,4.853,0.0
14.503,0.65,1.432,0.234,1.021,0.332,3.019,4.76,0.0
14.732,0.668,1.425,0.225,0.989,0.332,2.971,5.209,0.0
15.47,0.648,1.425,0.233,1.045,0.334,3.037,4.861,0.0
14.82,0.665,1.42,0.23,0.985,0.336,2.97,4.938,0.0
15.165,0.66,1.371,0.233,0.997,0.338,2.939,4.742,0.0
15.219,0.669,1.387,0.234,0.981,0.333,2.935,4.82,0.0
15.179,0.678,1.372,0.214,0.961,0.336,2.883,4.685,0.0
14.835,0.665,1.426,0.224,0.991,0.326,2.968,4.661,0.0
15.254,0.667,1.467,0.239,0.987,0.326,3.018,4.605,0.0
15.084,0.673,1.394,0.227,0.974,0.327,2.922,4.655,0.0
15.857,0.677,1.318,0.216,0.953,0.335,2.821,4.63,0.0
15.162,0.678,1.347,0.235,0.944,0.325,2.852,4.762,0.0
15.293,0.68,1.275,0.216,0.936,0.323,2.75,4.653,0.0
15.123,0.676,1.321,0.226,0.957,0.321,2.825,4.754,0.0
15.125,0.668,1.379,0.233,0.958,0.322,2.891,4.636,0.0
15.484,0.682,1.278,0.227,0.921,0.323,2.749,4.817,0.0
15.091,0.673,1.269,0.215,0.955,0.322,2.761,4.661,0.0
15.394,0.682,1.283,0.218,0.928,0.323,2.752,4.601,0.0
15.077,0.688,1.181,0.21,0.908,0.316,2.616,4.537,0.0
15.123,0.669,1.362,0.229,0.957,0.32,2.867,4.655,0.0
15.134,0.677,1.226,0.227,0.921,0.319,2.693,4.622,0.0
15.051,0.702,1.17,0.229,0.891,0.315,2.605,24.291,0.0
14.924,0.684,1.292,0.225,0.918,0.325,2.76,11.833,0.0
14.695,0.686,1.337,0.214,0.93,0.314,2.795,9.364,0.0
15.244,0.672,1.293,0.215,0.933,0.323,2.764,8.276,0.0
15.531,0.691,1.285,0.222,0.925,0.314,2.746,7.958,0.0
14.583,0.684,1.19,0.218,0.89,0.306,2.605,7.917,0.0
